Province,City,Year,Month,Day,Weather,Max Temperature (℃),Min Temperature (℃),Rainfall (mm),Snowfall (cm)
Seoul Gyeonggi,Seoul,2018,9,1,Sunny,30.9,20.8,0,0
Seoul Gyeonggi,Seoul,2018,9,2,Partly Cloudy,29.6,20.1,0,0
Seoul Gyeonggi,Seoul,2018,9,3,Rainy,25.8,21.4,34.5,0
Seoul Gyeonggi,Seoul,2018,9,4,Partly Cloudy,27.8,20,0,0
Seoul Gyeonggi,Seoul,2018,9,5,Sunny,28.5,19.6,0,0
Seoul Gyeonggi,Seoul,2018,9,6,Rainy,28.2,20.9,1,0
Seoul Gyeonggi,Seoul,2018,9,7,Rainy,25.5,19.1,0.5,0
Seoul Gyeonggi,Seoul,2018,9,8,Sunny,27.7,15.9,0,0
Seoul Gyeonggi,Seoul,2018,9,9,Sunny,28.9,15.6,0,0
Seoul Gyeonggi,Seoul,2018,9,10,Sunny,28.4,18.6,0,0
Seoul Gyeonggi,Seoul,2018,9,11,Mostly Cloudy,26.1,16.8,0,0
Seoul Gyeonggi,Seoul,2018,9,12,Partly Cloudy,28.2,16.8,0,0
Seoul Gyeonggi,Seoul,2018,9,13,Cloudy,28.3,20.3,0,0
Seoul Gyeonggi,Seoul,2018,9,14,Rainy,26.8,20.3,0.5,0
Seoul Gyeonggi,Seoul,2018,9,15,Rainy,26,21,0.2,0
Seoul Gyeonggi,Seoul,2018,9,16,Rainy,23.9,21,2,0
Seoul Gyeonggi,Seoul,2018,9,17,Rainy,27.7,18.5,0.1,0
Seoul Gyeonggi,Seoul,2018,9,18,Cloudy,26.5,17.7,0,0
Seoul Gyeonggi,Seoul,2018,9,19,Rainy,26.6,18.9,0.2,0
Seoul Gyeonggi,Seoul,2018,9,20,Rainy,20.1,17.8,5,0
Seoul Gyeonggi,Seoul,2018,9,21,Rainy,21.9,17.6,18,0
Seoul Gyeonggi,Seoul,2018,9,22,Rainy,25.5,17.2,6.5,0
Seoul Gyeonggi,Seoul,2018,9,23,Partly Cloudy,25.3,15.6,0,0
Seoul Gyeonggi,Seoul,2018,9,24,Sunny,22.1,14.2,0,0
Seoul Gyeonggi,Seoul,2018,9,25,Sunny,24.3,10.8,0,0
Seoul Gyeonggi,Seoul,2018,9,26,Partly Cloudy,24.8,16.2,0,0
Seoul Gyeonggi,Seoul,2018,9,27,Sunny,25,13.2,0,0
Seoul Gyeonggi,Seoul,2018,9,28,Mostly Cloudy,22.2,14.3,0,0
Seoul Gyeonggi,Seoul,2018,9,29,Sunny,27,14.6,0,0
Seoul Gyeonggi,Seoul,2018,9,30,Sunny,21.6,14,0,0
Seoul Gyeonggi,Seoul,2018,10,1,Partly Cloudy,19.7,13,0,0
Seoul Gyeonggi,Seoul,2018,10,2,Sunny,22,10.3,0,0
Seoul Gyeonggi,Seoul,2018,10,3,Sunny,24.2,11.2,0,0
Seoul Gyeonggi,Seoul,2018,10,4,Mostly Cloudy,25.6,13,0,0
Seoul Gyeonggi,Seoul,2018,10,5,Rainy,19,15.7,36.5,0
Seoul Gyeonggi,Seoul,2018,10,6,Rainy,21.7,16.3,55.5,0
Seoul Gyeonggi,Seoul,2018,10,7,Partly Cloudy,21.1,12.3,0,0
Seoul Gyeonggi,Seoul,2018,10,8,Partly Cloudy,20.9,9.2,0,0
Seoul Gyeonggi,Seoul,2018,10,9,Cloudy,19.8,10.7,0,0
Seoul Gyeonggi,Seoul,2018,10,10,Rainy,16.7,7.9,7,0
Seoul Gyeonggi,Seoul,2018,10,11,Sunny,13.9,6.1,0,0
Seoul Gyeonggi,Seoul,2018,10,12,Sunny,17.4,5.2,0,0
Seoul Gyeonggi,Seoul,2018,10,13,Sunny,19.8,6.1,0,0
Seoul Gyeonggi,Seoul,2018,10,14,Partly Cloudy,20.3,6.8,0,0
Seoul Gyeonggi,Seoul,2018,10,15,Partly Cloudy,21,10.9,0,0
Seoul Gyeonggi,Seoul,2018,10,16,Mostly Cloudy,20.3,9.9,0,0
